leftX,leftY,rightX,rightY
(0.32137125730514526, 0.14337439835071564),(0.3303237557411194, 0.10902705043554306)
(0.32137125730514526, 0.14337439835071564),(0.3291729688644409, 0.10202744603157043)
(0.3268923759460449, 0.12902431190013885),(0.3299424350261688, 0.09838752448558807)
(0.3215367794036865, 0.1353168934583664),(0.33060044050216675, 0.09393851459026337)
(0.3215367794036865, 0.1353168934583664),(0.3327035903930664, 0.09683310985565186)
(0.3226291537284851, 0.14291252195835114),(0.33825039863586426, 0.0925900787115097)
(0.3219875395298004, 0.1401764154434204),(0.33507704734802246, 0.09333880990743637)
(0.3219875395298004, 0.1401764154434204),(0.3319433033466339, 0.09287559986114502)
(0.3194200098514557, 0.13959337770938873),(0.32233816385269165, 0.09830734133720398)
(0.3235885798931122, 0.14002625644207),(0.3263087868690491, 0.10080723464488983)
(0.3235885798931122, 0.14002625644207),(0.3280661106109619, 0.10515912622213364)
(0.3272307515144348, 0.1378175914287567),(0.3363417387008667, 0.09775588661432266)
(0.3229025900363922, 0.1365012228488922),(0.3352493345737457, 0.09677767008543015)
(0.3229025900363922, 0.1365012228488922),(0.3354244828224182, 0.08903011679649353)
(0.3225652575492859, 0.1368430256843567),(0.3368648290634155, 0.09029685705900192)
(0.3295246362686157, 0.14601971209049225),(0.33553647994995117, 0.09156882762908936)
(0.3295246362686157, 0.14601971209049225),(0.3289050757884979, 0.09597323089838028)
(0.31347164511680603, 0.13322485983371735),(0.3171934187412262, 0.08904100954532623)
(0.2681509852409363, 0.08838357776403427),(0.29323193430900574, 0.054345205426216125)
(0.2681509852409363, 0.08838357776403427),(0.27456527948379517, 0.02750934101641178)
(0.24241061508655548, 0.08919674903154373),(0.24625471234321594, 0.007351676467806101)
(0.23746316134929657, 0.09335841983556747),(0.23829759657382965, 0.00819217786192894)
(0.23746316134929657, 0.09335841983556747),(0.2325812429189682, 0.010291442275047302)
(0.23754069209098816, 0.07620654255151749),(0.2324148714542389, 0.013645652681589127)
(0.2372926026582718, 0.0640786662697792),(0.2361343950033188, 0.01793494075536728)
(0.2372926026582718, 0.0640786662697792),(0.2427099347114563, 0.0220940001308918)
(0.23258943855762482, 0.06925499439239502),(0.2430567890405655, 0.019909679889678955)
(0.2282756268978119, 0.06911488622426987),(0.2424464076757431, 0.016565851867198944)
(0.2282756268978119, 0.06911488622426987),(0.23432447016239166, 0.009074741974473)
(0.22696395218372345, 0.06213779374957085),(0.2336558997631073, 0.006216783542186022)
(0.22791993618011475, 0.06571170687675476),(0.23206184804439545, 0.005502231419086456)
(0.22791993618011475, 0.06571170687675476),(0.2371346354484558, 0.009054334834218025)
(0.23031482100486755, 0.06512556225061417),(0.23549698293209076, 0.0073620923794806)
(0.2278658151626587, 0.06577108055353165),(0.23511908948421478, 0.00858508050441742)
(0.2278658151626587, 0.06577108055353165),(0.23406057059764862, 0.0035902371164411306)
(0.23406648635864258, 0.06426434963941574),(0.23642680048942566, 0.008215680718421936)
(0.2355920374393463, 0.05858438089489937),(0.23742914199829102, 0.01181161031126976)
(0.2355920374393463, 0.05858438089489937),(0.23988161981105804, 0.0195150189101696)
(0.2545764148235321, 0.07117050886154175),(0.25856947898864746, 0.016625069081783295)
(0.2799387276172638, 0.09429782629013062),(0.27098867297172546, 0.015396482311189175)
(0.2799387276172638, 0.09429782629013062),(0.28098490834236145, 0.020398011431097984)
(0.28120118379592896, 0.10210660845041275),(0.27314260601997375, 0.03433892875909805)
(0.28007665276527405, 0.09015714377164841),(0.2767843008041382, 0.03197668865323067)
(0.28007665276527405, 0.09015714377164841),(0.27615487575531006, 0.02774631418287754)
(0.27091360092163086, 0.08049315214157104),(0.2829085886478424, 0.01794597879052162)
(0.2690231204032898, 0.08521273732185364),(0.28535518050193787, 0.014947120100259781)
(0.2690231204032898, 0.08521273732185364),(0.28579244017601013, 0.018139053136110306)
(0.2716235816478729, 0.08347702026367188),(0.2841915488243103, 0.022799856960773468)
